Name,Position,Duration,source_file,Position_abs_gopro,Event,ODK,Play Type,Possession,Group Box,Pass Outcome,Kick Type,Play Outcome,Kick Outcome,Run Direction
Play (1),281220,15180,GX011660.MP4,283951,Play,K,Kick,Home,,,,,,
Play (2),335107,7639,GX021660.MP4,337838,,D,Run,Away,Away,,,,,
Play (3),367640,10342,GX021660.MP4,370371,,D,Run,Away,Away,,,,,
Play (4),404677,8774,GX021660.MP4,407408,,D,Run,Away,Away,,,,,
Play (5),437342,5904,GX021660.MP4,440073,,D,Run,Away,Away,,,,,
Play (6),473512,9141,GX021660.MP4,476243,,D,Run,Away,Away,,,,,
Play (7),513685,7873,GX021660.MP4,516416,,D,Run,Away,Away,,,,,
Play (8),566505,10876,GX021660.MP4,569236,Play,O,Pass,Home,,Incomplete,,,,
Play (9),615988,8707,GX021660.MP4,618719,Play,O,Run,Home,,,,,,
Play (10),658897,8407,GX031660.MP4,661628,Play,O,Pass,Home,,Incomplete,,,,
Play (11),694066,12644,GX031660.MP4,696797,Play,K,Kick,Home,,,Punt,,,
Play (12),755827,11010,GX031660.MP4,758558,Play,D,Pass,Away,Away,Complete,,,,
Play (13),794099,8107,GX031660.MP4,796830,Play,D,Run,Away,Away,,,,,
Play (14),828467,9008,GX031660.MP4,831198,Play,D,Pass,Away,Away,Complete,,,,
Play (15),868540,7506,GX031660.MP4,871271,Play,D,Pass,Away,Away,Incomplete,,,,
Play (16),901072,9008,GX031660.MP4,903803,Play,D,Run,Away,Away,,,,,
Play (17),937842,7973,GX031660.MP4,940573,Play,D,Pass,Away,Away,Complete,,,,
Play (18),976948,9241,GX041660.MP4,979679,Play,D,Run,Away,Away,,,,,
Play (19),1016388,11110,GX041660.MP4,1019119,Play,D,Pass,Away,Away,Complete,,,,
Play (20),1063034,1000,GX041660.MP4,1065765,Play,D,,Away,Away,,,,,
Play (21),1113918,8907,GX041660.MP4,1116649,Play,D,Pass,Away,Away,Complete,,Touchdown,,
Play (22),1155994,8307,GX041660.MP4,1158725,Play,K,Kick,Away,Away,,Extra Point,,It's Good,
