Name,Position,Duration,Event,ODK,Play Type,Possession,Group Box,Pass Outcome,Kick Type,Play Outcome,Kick Outcome,Run Direction
Play (1),283951,15180,Play,K,Kick,Home,,,,,,
Play (2),17518,7639,,D,Run,Away,Away,,,,,
Play (3),50051,10342,,D,Run,Away,Away,,,,,
Play (4),87088,8774,,D,Run,Away,Away,,,,,
Play (5),119753,5904,,D,Run,Away,Away,,,,,
Play (6),155923,9141,,D,Run,Away,Away,,,,,
Play (7),196096,7873,,D,Run,Away,Away,,,,,
Play (8),248916,10876,Play,O,Pass,Home,,Incomplete,,,,
Play (9),298399,8707,Play,O,Run,Home,,,,,,
Play (10),20988,8407,Play,O,Pass,Home,,Incomplete,,,,
Play (11),56157,12644,Play,K,Kick,Home,,,Punt,,,
Play (12),117918,11010,Play,D,Pass,Away,Away,Complete,,,,
Play (13),156190,8107,Play,D,Run,Away,Away,,,,,
Play (14),190558,9008,Play,D,Pass,Away,Away,Complete,,,,
Play (15),230631,7506,Play,D,Pass,Away,Away,Incomplete,,,,
Play (16),263163,9008,Play,D,Run,Away,Away,,,,,
Play (17),299933,7973,Play,D,Pass,Away,Away,Complete,,,,
Play (18),18719,9241,Play,D,Run,Away,Away,,,,,
Play (19),58159,11110,Play,D,Pass,Away,Away,Complete,,,,
Play (20),104805,1000,Play,D,,Away,Away,,,,,
Play (21),155689,8907,Play,D,Pass,Away,Away,Complete,,Touchdown,,
Play (22),197765,8307,Play,K,Kick,Away,Away,,Extra Point,,It's Good,
Play (23),277011,13145,Play,K,Kick,Away,Away,,Kickoff,,,
Play (24),7908,8073,Play,O,Pass,Home,,Incomplete,,,,
Play (25),108042,8674,Play,O,Pass,Home,,Sack,,,,
Play (26),151385,6805,Play,O,Pass,Home,,Incomplete,,,,
Play (27),190124,14113,Play,K,Kick,Home,,,Punt,,,
Play (28),244945,7172,Play,D,Run,Away,Away,,,,,
Play (29),281915,10943,Play,D,Run,Away,Away,,,,,
Play (30),968,8707,Play,D,Pass,Away,Away,Complete,,,,
Play (31),106040,9008,Play,D,Pass,Away,Away,Incomplete,,,,
Play (32),141876,10943,Play,D,Run,Away,Away,,,,,Wide Right
Play (33),269637,10676,Play,D,Run,,Away,,,2pt Good,,
Play (34),54055,12678,Play,K,Kick,,Away,,Kickoff,,,
Play (35),108008,8140,Play,O,Pass,Home,,Complete,,,,
Play (36),149183,0,Play,O,Pass,Home,,Incomplete,,,,
Play (37),20821,10809,Play,D,Run,,Away,,,,,
Play (38),195129,9308,Play,O,Pass,Home,,Sack,,,,
Play (39),232299,19084,Play,K,Kick,Home,,,Punt,,,
Play (40),293527,11243,Play,D,Run,,Away,,,,,
Play (41),64465,8207,Play,D,Run,,Away,,,,,
Play (42),173040,6805,Play,K,Kick,,Away,,Field Goal,,It's Good,
Play (43),234935,14079,Play,K,Kick,,Away,,Kickoff,,,
Play (44),34902,10376,Play,O,Pass,Home,,Incomplete,,,,
Play (45),84518,11110,Play,O,Pass,Home,,Scramble,,,,
Play (46),137872,8574,Play,O,Run,Home,,,,,,
Play (47),189623,9608,Play,O,Pass,Home,,Incomplete,,,,
Play (48),11012,8941,Play,O,Pass,Home,,Complete,,,,
Play (49),54188,8273,Play,O,Pass,Home,,Complete,,,,
Play (50),102036,8674,Play,O,Pass,Home,,Complete,,,,
Play (51),148849,7373,Play,O,Run,Home,,,,,,
Play (52),196597,8207,Play,O,Pass,Home,,Incomplete,,,,
Play (53),241242,8540,Play,O,Pass,Home,,Complete,,Touchdown,,
Play (54),284084,8207,Play,K,Kick,Home,,,Extra Point,,,
Play (55),34435,14079,Play,K,Kick,Home,,,Kickoff,,Returned,
Play (56),76210,8540,Play,D,Pass,,Away,Complete,,,,
Play (57),120588,11510,Play,D,Pass,,Away,Complete,,,,
Play (58),209643,12000,Play,D,Run,,Away,,,,,
Play (59),257124,10509,Play,D,Pass,,Away,Complete,,,,
Play (60),308809,10476,Play,D,Run,,Away,,,,,
Play (61),26627,8374,Play,D,Pass,,Away,Complete,,,,
Play (62),61695,7840,Play,D,Pass,,Away,Incomplete,,,,
Play (63),101836,11043,Play,D,Pass,,Away,Complete,,Touchdown,,
Play (64),139607,7406,Play,K,Kick,,Away,,Extra Point,,It's Good,
